__time,/ground_truth/pose/pose/position/x,/ground_truth/pose/pose/position/y,/ground_truth/pose/pose/position/z,/ground_truth/pose/pose/orientation/yaw
1719597316.684128,3.606111956,0.069338455,-0.001156782,0.221594751
1719597316.685079,3.606349812,0.069394189,-0.001154264,0.221675951
1719597316.686071,3.606588105,0.069450125,-0.001151125,0.221756005
1719597316.68704,3.606826839,0.069506107,-0.00114734,0.221834913
1719597316.688084,3.60706403,0.069566021,-0.001143079,0.221913231
1719597316.689035,3.607299887,0.069619745,-0.001139495,0.2219971
1719597316.690097,3.60753676,0.069671913,-0.001137209,0.222090727
1719597316.691036,3.607774664,0.069725342,-0.001135834,0.222185344
1719597316.692106,3.608013412,0.069780017,-0.001135049,0.222279472
1719597316.693104,3.608252826,0.069835578,-0.00113465,0.222372964
1719597316.694094,3.608492778,0.069891648,-0.001134503,0.222465791
1719597316.695116,3.608733169,0.069947926,-0.001134517,0.222557917
1719597316.696117,3.608973912,0.070004193,-0.00113462,0.222649297
1719597316.697172,3.609214924,0.070060306,-0.001134751,0.222739882
1719597316.698125,3.609456129,0.070116179,-0.001134855,0.222829619
1719597316.699114,3.609697454,0.070171773,-0.001134878,0.222918457
1719597316.700027,3.609938832,0.070227078,-0.001134769,0.223006346
1719597316.701068,3.610180205,0.07028211,-0.001134479,0.223093243
1719597316.702041,3.610421522,0.070336896,-0.00113396,0.223179111
1719597316.703038,3.610662744,0.07039147,-0.001133164,0.223263919
1719597316.704071,3.61090384,0.07044587,-0.00113205,0.223347645
1719597316.705041,3.611144788,0.07050013,-0.001130574,0.223430275
1719597316.706075,3.611385578,0.070554281,-0.001128701,0.223511802
1719597316.70704,3.611626207,0.070608348,-0.001126394,0.223592226
1719597316.708071,3.61186668,0.07066235,-0.001123624,0.223671555
1719597316.70904,3.61210517,0.070719779,-0.001120556,0.22375018
1719597316.710059,3.61234064,0.070774174,-0.001118009,0.223833711
1719597316.711051,3.612574094,0.070825249,-0.001115816,0.223920266
1719597316.712088,3.612806731,0.070873451,-0.001113772,0.224006796
1719597316.713135,3.613039078,0.070920262,-0.001111744,0.224092598
1719597316.714005,3.613271418,0.070967002,-0.001109646,0.224177644
1719597316.715052,3.613503962,0.071014558,-0.001107422,0.224261982
1719597316.716007,3.613736888,0.07106343,-0.001105031,0.224345659
1719597316.717018,3.613970342,0.07111383,-0.001102441,0.224428732
1719597316.718044,3.614205644,0.071163376,-0.00109988,0.224511302
1719597316.719057,3.614444083,0.071216327,-0.001098023,0.224599278
1719597316.72001,3.614684637,0.071274554,-0.001096679,0.224687724
1719597316.721047,3.61492673,0.071336347,-0.001095657,0.224776026
1719597316.722061,3.615169996,0.071399842,-0.001094828,0.224864128
1719597316.723026,3.615414161,0.071463586,-0.001094103,0.22495198
1719597316.724089,3.615658981,0.071526589,-0.001093417,0.225039509
1719597316.725035,3.615904229,0.071588258,-0.001092716,0.225126619
1719597316.726061,3.61614969,0.071648309,-0.001091954,0.2252132
1719597316.72707,3.616395162,0.071706687,-0.001091085,0.225299136
1719597316.728028,3.616640465,0.071763498,-0.001090066,0.225384321
1719597316.729096,3.616885442,0.071818943,-0.001088856,0.225468662
1719597316.730054,3.617129964,0.071873275,-0.001087413,0.225552083
1719597316.731184,3.617373935,0.07192676,-0.001085699,0.225634531
1719597316.732044,3.617615591,0.071982573,-0.001083877,0.225716165
1719597316.73307,3.617853904,0.072035075,-0.001082692,0.225802236
1719597316.734106,3.618089767,0.07208436,-0.00108197,0.225891061
1719597316.73512,3.6183243,0.072131038,-0.001081501,0.225979765
1719597316.736111,3.61855801,0.072176617,-0.001081141,0.226067695
1719597316.737129,3.618791188,0.072222401,-0.001080796,0.226154846
1719597316.73815,3.619024078,0.072269241,-0.001080397,0.226241281
1719597316.739107,3.619256896,0.072317605,-0.001079892,0.226327073
1719597316.740069,3.61948984,0.072367672,-0.001079235,0.226412299
1719597316.741092,3.619723086,0.07241941,-0.001078387,0.226497032
1719597316.742073,3.619956785,0.072472657,-0.001077314,0.22658134
1719597316.743034,3.62019107,0.072527153,-0.001075986,0.226665264
1719597316.74406,3.620427221,0.072580062,-0.001074623,0.226748907
1719597316.745039,3.620666519,0.072635636,-0.001073909,0.226838116
1719597316.74605,3.620911872,0.072688088,-0.001074394,0.226927742
1719597316.747033,3.621160566,0.072741359,-0.001075614,0.227016652
1719597316.748003,3.621411146,0.072796027,-0.001077261,0.227104709
1719597316.749049,3.621658253,0.072859529,-0.001079868,0.227192048
1719597316.750109,3.621903631,0.072926505,-0.001083037,0.227278896
1719597316.751091,3.622148047,0.072993962,-0.001086523,0.227365485
1719597316.752045,3.622391841,0.073060123,-0.00109017,0.227451809
1719597316.753018,3.622635134,0.073124088,-0.00109386,0.227537785
1719597316.754059,3.622877935,0.073185572,-0.001097497,0.22762333
1719597316.755063,3.6231185,0.073247665,-0.001101184,0.22770854
1719597316.756042,3.623355855,0.073304736,-0.001105611,0.22779842
1719597316.757038,3.623590843,0.073357095,-0.001110556,0.227891177
1719597316.758014,3.623824587,0.073405585,-0.00111576,0.227983768
1719597316.759047,3.624057561,0.073452065,-0.00112103,0.228075485
1719597316.760015,3.624290009,0.073498195,-0.001126223,0.22816627
