__time,/effort_controller/commands/data[1],/joint_states/front_left_motor_joint/position
1718737782.190422,0.0,-0.011919914
1718737782.191693,0.0,-0.011918956
1718737782.192258,0.0,-0.011916677
1718737782.193407,0.0,-0.011913391
1718737782.194555,0.0,-0.011909412
1718737782.195712,0.0,-0.011905044
1718737782.196362,0.0,-0.011900572
1718737782.197448,0.0,-0.011896256
1718737782.198622,0.0,-0.011895985
1718737782.199766,0.0,-0.011889718
1718737782.20035,0.0,-0.011883702
1718737782.201475,0.0,-0.011878349
1718737782.202645,0.0,-0.011876138
1718737782.203799,0.0,-0.011868695
1718737782.204463,0.0,-0.011858128
1718737782.205579,0.0,-0.011846807
1718737782.206763,0.0,-0.011836323
1718737782.207952,0.0,-0.011827572
1718737782.208553,0.0,-0.011820951
1718737782.209678,0.0,-0.011816528
1718737782.210832,0.0,-0.011814178
1718737782.21143,0.0,-0.011813668
1718737782.212573,0.0,-0.011814729
1718737782.213724,0.0,-0.01181709
1718737782.21458,0.0,-0.011820507
1718737782.215728,0.0,-0.011824773
1718737782.216908,0.0,-0.011829723
1718737782.217502,0.0,-0.011835229
1718737782.218639,0.0,-0.011841195
1718737782.219799,0.0,-0.011847547
1718737782.220361,0.0,-0.01185423
1718737782.221501,0.0,-0.011861195
1718737782.222747,0.0,-0.0118684
1718737782.223926,0.0,-0.011875801
1718737782.22452,0.0,-0.011883355
1718737782.225665,0.0,-0.011891021
1718737782.226876,0.0,-0.011898754
1718737782.227491,0.0,-0.011906516
1718737782.228578,0.0,-0.01191427
1718737782.229727,0.0,-0.011921985
1718737782.230884,0.0,-0.011929637
1718737782.231579,0.0,-0.011937211
1718737782.232635,0.0,-0.011944696
1718737782.233899,0.0,-0.011949041
1718737782.234416,0.0,-0.011958742
1718737782.235553,0.0,-0.011910745
1718737782.236688,0.0,-0.011916139
1718737782.237871,0.0,-0.011931895
1718737782.238506,0.0,-0.011950102
1718737782.239776,0.0,-0.011968052
1718737782.240895,0.0,-0.011984489
1718737782.241507,0.0,-0.011998882
1718737782.242657,0.0,-0.012011139
1718737782.243783,0.0,-0.012021439
1718737782.244391,0.0,-0.012030107
1718737782.245538,0.0,-0.012037515
1718737782.24669,0.0,-0.012044022
1718737782.247833,0.0,-0.012049936
1718737782.248427,0.0,-0.01205549
1718737782.249572,0.0,-0.012060845
1718737782.250722,0.0,-0.012066093
1718737782.251878,0.0,-0.012071268
1718737782.25246,0.0,-0.012076366
1718737782.253602,0.0,-0.012084984
1718737782.254757,0.0,-0.012086667
1718737782.255944,0.0,-0.012087669
1718737782.256588,0.0,-0.012087833
1718737782.257795,0.0,-0.012087146
1718737782.258899,0.0,-0.012085584
1718737782.259487,0.0,-0.012083029
1718737782.26063,0.0,-0.012079281
1718737782.26178,0.0,-0.012074099
1718737782.262918,0.0,-0.012067243
1718737782.2635,0.0,-0.012058894
1718737782.26464,0.0,-0.012051493
1718737782.265808,0.0,-0.012036333
1718737782.266932,0.0,-0.012015649
1718737782.267522,0.0,-0.011992219
1718737782.268665,0.0,-0.011968232
1718737782.269837,0.0,-0.011945267
1718737782.270413,0.0,-0.011924412
1718737782.2717,0.0,-0.011906374
1718737782.272903,0.0,-0.011891571
1718737782.273489,0.0,-0.011880198
1718737782.274629,0.0,-0.011872282
1718737782.27577,0.0,-0.011867719
1718737782.276915,0.0,-0.011866314
1718737782.277501,0.0,-0.011867797
1718737782.278644,0.0,-0.011871854
1718737782.279825,0.0,-0.011878135
1718737782.280925,0.0,-0.011886277
1718737782.28151,0.0,-0.011895906
1718737782.282668,0.0,-0.01190666
1718737782.2838,0.0,-0.011918189
1718737782.284941,0.0,-0.011930164
1718737782.285537,0.0,-0.011942292
1718737782.286746,0.0,-0.011954312
1718737782.287874,0.0,-0.011966006
1718737782.288465,0.0,-0.011977201
1718737782.289739,0.0,-0.011987768
1718737782.290868,0.0,-0.011997624
1718737782.291543,0.0,-0.012034882
1718737782.292715,0.0,-0.012009857
1718737782.293893,0.0,-0.012039278
1718737782.294506,0.0,-0.01207915
1718737782.295713,0.0,-0.012118899
1718737782.296907,0.0,-0.012142573
